76038 silly lifecycle strip-bom@2.0.0~preinstall: no script for preinstall, continuing
76850 silly finalize /var/www/skyauto/node_modules/query-string
76851 silly finalize /var/www/skyauto/node_modules/normalize-url
76852 silly finalize /var/www/skyauto/node_modules/string_decoder
76853 silly finalize /var/www/skyauto/node_modules/string.prototype.codepointat
76854 silly finalize /var/www/skyauto/node_modules/node-emoji
76855 silly finalize /var/www/skyauto/node_modules/stringstream
76856 silly finalize /var/www/skyauto/node_modules/strip-ansi
76857 silly finalize /var/www/skyauto/node_modules/string-width
76858 silly finalize /var/www/skyauto/node_modules/strip-bom
76859 silly finalize /var/www/skyauto/node_modules/load-json-file
76860 silly finalize /var/www/skyauto/node_modules/strip-indent
76861 silly finalize /var/www/skyauto/node_modules/redent
76862 silly finalize /var/www/skyauto/node_modules/style-loader
76863 silly finalize /var/www/skyauto/node_modules/supports-color
76864 silly finalize /var/www/skyauto/node_modules/chalk
76865 silly finalize /var/www/skyauto/node_modules/postcss
76866 silly finalize /var/www/skyauto/node_modules/postcss-reduce-transforms
76867 silly finalize /var/www/skyauto/node_modules/postcss-reduce-initial
76868 silly finalize /var/www/skyauto/node_modules/postcss-reduce-idents
76869 silly finalize /var/www/skyauto/node_modules/postcss-ordered-values
76870 silly finalize /var/www/skyauto/node_modules/postcss-normalize-url
76871 silly finalize /var/www/skyauto/node_modules/postcss-normalize-charset
76872 silly finalize /var/www/skyauto/node_modules/postcss-modules-values
76873 silly finalize /var/www/skyauto/node_modules/postcss-modules-scope
76874 silly finalize /var/www/skyauto/node_modules/postcss-modules-local-by-default
76875 silly finalize /var/www/skyauto/node_modules/postcss-modules-extract-imports
76876 silly finalize /var/www/skyauto/node_modules/postcss-minify-gradients
76877 silly finalize /var/www/skyauto/node_modules/postcss-minify-font-values
76878 silly finalize /var/www/skyauto/node_modules/postcss-merge-longhand
76879 silly finalize /var/www/skyauto/node_modules/postcss-merge-idents
76880 silly finalize /var/www/skyauto/node_modules/postcss-loader
76881 silly finalize /var/www/skyauto/node_modules/postcss-discard-overridden
76882 silly finalize /var/www/skyauto/node_modules/postcss-discard-empty
76883 silly finalize /var/www/skyauto/node_modules/postcss-discard-duplicates
76884 silly finalize /var/www/skyauto/node_modules/postcss-discard-comments
76885 silly finalize /var/www/skyauto/node_modules/postcss-convert-values
76886 silly finalize /var/www/skyauto/node_modules/postcss-colormin
76887 silly finalize /var/www/skyauto/node_modules/postcss-calc
76888 silly finalize /var/www/skyauto/node_modules/autoprefixer
76889 silly finalize /var/www/skyauto/node_modules/marked-terminal
76890 silly finalize /var/www/skyauto/node_modules/cli-usage
76891 silly finalize /var/www/skyauto/node_modules/friendly-errors-webpack-plugin
76892 silly finalize /var/www/skyauto/node_modules/clap
76893 silly finalize /var/www/skyauto/node_modules/csso
76894 silly finalize /var/www/skyauto/node_modules/babel-code-frame
76895 silly finalize /var/www/skyauto/node_modules/tapable
76896 silly finalize /var/www/skyauto/node_modules/tfunk
76897 silly finalize /var/www/skyauto/node_modules/eazy-logger
76898 silly finalize /var/www/skyauto/node_modules/through
76899 silly finalize /var/www/skyauto/node_modules/es6-templates
76900 silly finalize /var/www/skyauto/node_modules/timers-browserify
76901 silly finalize /var/www/skyauto/node_modules/to-array
76902 silly finalize /var/www/skyauto/node_modules/to-arraybuffer
76903 silly finalize /var/www/skyauto/node_modules/to-fast-properties
76904 silly finalize /var/www/skyauto/node_modules/babel-types
76905 silly finalize /var/www/skyauto/node_modules/regenerator-transform
76906 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-regenerator
76907 silly finalize /var/www/skyauto/node_modules/babel-traverse
76908 silly finalize /var/www/skyauto/node_modules/babel-template
76909 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-computed-properties
76910 silly finalize /var/www/skyauto/node_modules/babel-helpers
76911 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-strict-mode
76912 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-shorthand-properties
76913 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-modules-commonjs
76914 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-modules-amd
76915 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-modules-umd
76916 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-duplicate-keys
76917 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-block-scoping
76918 silly finalize /var/www/skyauto/node_modules/babel-helper-regex
76919 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-unicode-regex
76920 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-sticky-regex
76921 silly finalize /var/www/skyauto/node_modules/babel-helper-optimise-call-expression
76922 silly finalize /var/www/skyauto/node_modules/babel-helper-replace-supers
76923 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-object-super
76924 silly finalize /var/www/skyauto/node_modules/babel-helper-hoist-variables
76925 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-modules-systemjs
76926 silly finalize /var/www/skyauto/node_modules/babel-helper-get-function-arity
76927 silly finalize /var/www/skyauto/node_modules/babel-helper-function-name
76928 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-function-name
76929 silly finalize /var/www/skyauto/node_modules/babel-helper-define-map
76930 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-classes
76931 silly finalize /var/www/skyauto/node_modules/babel-helper-call-delegate
76932 silly finalize /var/www/skyauto/node_modules/babel-plugin-transform-es2015-parameters
76933 silly finalize /var/www/skyauto/node_modules/babel-preset-es2015
76934 silly finalize /var/www/skyauto/node_modules/babel-generator
76935 silly finalize /var/www/skyauto/node_modules/babel-core
76936 silly finalize /var/www/skyauto/node_modules/babel-register
76937 silly finalize /var/www/skyauto/node_modules/tough-cookie
76938 silly finalize /var/www/skyauto/node_modules/trim-newlines
76939 silly finalize /var/www/skyauto/node_modules/tty-browserify
76940 silly finalize /var/www/skyauto/node_modules/tunnel-agent
76941 silly finalize /var/www/skyauto/node_modules/tweetnacl
76942 silly finalize /var/www/skyauto/node_modules/bcrypt-pbkdf
76943 silly finalize /var/www/skyauto/node_modules/sshpk
76944 silly finalize /var/www/skyauto/node_modules/type-is
76945 silly finalize /var/www/skyauto/node_modules/ua-parser-js
76946 silly finalize /var/www/skyauto/node_modules/uglify-js/node_modules/async
76947 silly finalize /var/www/skyauto/node_modules/uglify-js/node_modules/window-size
76948 silly finalize /var/www/skyauto/node_modules/uglify-to-browserify
76949 silly finalize /var/www/skyauto/node_modules/ultron
76950 silly finalize /var/www/skyauto/node_modules/underscore
76951 silly finalize /var/www/skyauto/node_modules/uniq
76952 silly finalize /var/www/skyauto/node_modules/postcss-selector-parser
76953 silly finalize /var/www/skyauto/node_modules/postcss-minify-selectors
76954 silly finalize /var/www/skyauto/node_modules/uniqid
76955 silly finalize /var/www/skyauto/node_modules/postcss-filter-plugins
76956 silly finalize /var/www/skyauto/node_modules/uniqs
76957 silly finalize /var/www/skyauto/node_modules/postcss-zindex
76958 silly finalize /var/www/skyauto/node_modules/postcss-unique-selectors
76959 silly finalize /var/www/skyauto/node_modules/postcss-minify-params
76960 silly finalize /var/www/skyauto/node_modules/postcss-discard-unused
76961 silly finalize /var/www/skyauto/node_modules/unpipe
76962 silly finalize /var/www/skyauto/node_modules/finalhandler
76963 silly finalize /var/www/skyauto/node_modules/upper-case
76964 silly finalize /var/www/skyauto/node_modules/camel-case
76965 silly finalize /var/www/skyauto/node_modules/urix
76966 silly finalize /var/www/skyauto/node_modules/source-map-resolve
76967 silly finalize /var/www/skyauto/node_modules/css
76968 silly finalize /var/www/skyauto/node_modules/rework
76969 silly finalize /var/www/skyauto/node_modules/resolve-url-loader
76970 silly finalize /var/www/skyauto/node_modules/url-parse
76971 silly finalize /var/www/skyauto/node_modules/url/node_modules/punycode
76972 silly finalize /var/www/skyauto/node_modules/url
76973 silly finalize /var/www/skyauto/node_modules/util-deprecate
76974 silly finalize /var/www/skyauto/node_modules/readable-stream
76975 silly finalize /var/www/skyauto/node_modules/stream-browserify
76976 silly finalize /var/www/skyauto/node_modules/stdout-stream
76977 silly finalize /var/www/skyauto/node_modules/readdirp
76978 silly finalize /var/www/skyauto/node_modules/chokidar
76979 silly finalize /var/www/skyauto/node_modules/memory-fs
76980 silly finalize /var/www/skyauto/node_modules/enhanced-resolve
76981 silly finalize /var/www/skyauto/node_modules/are-we-there-yet
76982 silly finalize /var/www/skyauto/node_modules/util/node_modules/inherits
76983 silly finalize /var/www/skyauto/node_modules/util
76984 silly finalize /var/www/skyauto/node_modules/path
76985 silly finalize /var/www/skyauto/node_modules/assert
76986 silly finalize /var/www/skyauto/node_modules/utils-merge
76987 silly finalize /var/www/skyauto/node_modules/connect
76988 silly finalize /var/www/skyauto/node_modules/uuid
76989 silly finalize /var/www/skyauto/node_modules/validate-npm-package-license
76990 silly finalize /var/www/skyauto/node_modules/normalize-package-data
76991 silly finalize /var/www/skyauto/node_modules/read-pkg
76992 silly finalize /var/www/skyauto/node_modules/read-pkg-up
76993 silly finalize /var/www/skyauto/node_modules/meow
76994 silly finalize /var/www/skyauto/node_modules/vary
76995 silly finalize /var/www/skyauto/node_modules/compression
76996 silly finalize /var/www/skyauto/node_modules/vendors
76997 silly finalize /var/www/skyauto/node_modules/postcss-merge-rules
76998 silly finalize /var/www/skyauto/node_modules/verror
76999 silly finalize /var/www/skyauto/node_modules/jsprim
77000 silly finalize /var/www/skyauto/node_modules/http-signature
77001 silly finalize /var/www/skyauto/node_modules/vlq
77002 silly finalize /var/www/skyauto/node_modules/magic-string
77003 silly finalize /var/www/skyauto/node_modules/buble
77004 silly finalize /var/www/skyauto/node_modules/bubleify
77005 silly finalize /var/www/skyauto/node_modules/is-number-like
77006 silly finalize /var/www/skyauto/node_modules/portscanner
77007 silly finalize /var/www/skyauto/node_modules/vm-browserify
77008 silly finalize /var/www/skyauto/node_modules/vue
77009 silly finalize /var/www/skyauto/node_modules/vue-hot-reload-api
77010 silly finalize /var/www/skyauto/node_modules/vue-style-loader
77011 silly finalize /var/www/skyauto/node_modules/vue-template-compiler
77012 silly finalize /var/www/skyauto/node_modules/vue-template-es2015-compiler
77013 silly finalize /var/www/skyauto/node_modules/watchpack/node_modules/async
77014 silly finalize /var/www/skyauto/node_modules/watchpack
77015 silly finalize /var/www/skyauto/node_modules/wbuf
77016 silly finalize /var/www/skyauto/node_modules/hpack.js
77017 silly finalize /var/www/skyauto/node_modules/spdy-transport
77018 silly finalize /var/www/skyauto/node_modules/spdy
77019 silly finalize /var/www/skyauto/node_modules/webpack-dev-middleware/node_modules/mime
77020 silly finalize /var/www/skyauto/node_modules/webpack-dev-middleware
77021 silly finalize /var/www/skyauto/node_modules/webpack-dev-server/node_modules/mime
77022 silly finalize /var/www/skyauto/node_modules/webpack-dev-server/node_modules/ms
77023 silly finalize /var/www/skyauto/node_modules/webpack-dev-server/node_modules/debug
77024 silly finalize /var/www/skyauto/node_modules/webpack-dev-server/node_modules/finalhandler
77025 silly finalize /var/www/skyauto/node_modules/webpack-dev-server/node_modules/qs
77026 silly finalize /var/www/skyauto/node_modules/webpack-dev-server/node_modules/send/node_modules/ms
77027 silly finalize /var/www/skyauto/node_modules/webpack-dev-server/node_modules/send
77028 silly finalize /var/www/skyauto/node_modules/webpack-dev-server/node_modules/serve-static
77029 silly finalize /var/www/skyauto/node_modules/webpack-dev-server/node_modules/express
77030 silly finalize /var/www/skyauto/node_modules/webpack-dev-server/node_modules/supports-color
77031 silly finalize /var/www/skyauto/node_modules/webpack-md5-hash
77032 silly finalize /var/www/skyauto/node_modules/webpack-sources
77033 silly finalize /var/www/skyauto/node_modules/extract-text-webpack-plugin
77034 silly finalize /var/www/skyauto/node_modules/webpack-stats-plugin
77035 silly finalize /var/www/skyauto/node_modules/webpack/node_modules/acorn
77036 silly finalize /var/www/skyauto/node_modules/webpack/node_modules/async
77037 silly finalize /var/www/skyauto/node_modules/webpack/node_modules/supports-color
77038 silly finalize /var/www/skyauto/node_modules/websocket-extensions
77039 silly finalize /var/www/skyauto/node_modules/websocket-driver
77040 silly finalize /var/www/skyauto/node_modules/sockjs-client/node_modules/faye-websocket
77041 silly finalize /var/www/skyauto/node_modules/sockjs-client
77042 silly finalize /var/www/skyauto/node_modules/faye-websocket
77043 silly finalize /var/www/skyauto/node_modules/sockjs
77044 silly finalize /var/www/skyauto/node_modules/weinre
77045 silly finalize /var/www/skyauto/node_modules/browser-sync-ui
77046 silly finalize /var/www/skyauto/node_modules/whet.extend
77047 silly finalize /var/www/skyauto/node_modules/svgo
77048 silly finalize /var/www/skyauto/node_modules/postcss-svgo
77049 silly finalize /var/www/skyauto/node_modules/cssnano
77050 silly finalize /var/www/skyauto/node_modules/css-loader
77051 silly finalize /var/www/skyauto/node_modules/which
77052 silly finalize /var/www/skyauto/node_modules/node-notifier
77053 silly finalize /var/www/skyauto/node_modules/webpack-notifier
77054 silly finalize /var/www/skyauto/node_modules/which-module
77055 silly finalize /var/www/skyauto/node_modules/wide-align
77056 silly finalize /var/www/skyauto/node_modules/gauge
77057 silly finalize /var/www/skyauto/node_modules/npmlog
77058 silly finalize /var/www/skyauto/node_modules/window-size
77059 silly finalize /var/www/skyauto/node_modules/wordwrap
77060 silly finalize /var/www/skyauto/node_modules/uglify-js/node_modules/cliui
77061 silly finalize /var/www/skyauto/node_modules/uglify-js/node_modules/yargs
77062 silly finalize /var/www/skyauto/node_modules/uglify-js
77063 silly finalize /var/www/skyauto/node_modules/wrap-ansi
77064 silly finalize /var/www/skyauto/node_modules/cliui
77065 silly finalize /var/www/skyauto/node_modules/wrappy
77066 silly finalize /var/www/skyauto/node_modules/once
77067 silly finalize /var/www/skyauto/node_modules/inflight
77068 silly finalize /var/www/skyauto/node_modules/glob
77069 silly finalize /var/www/skyauto/node_modules/rimraf
77070 silly finalize /var/www/skyauto/node_modules/fstream
77071 silly finalize /var/www/skyauto/node_modules/tar
77072 silly finalize /var/www/skyauto/node_modules/copy-webpack-plugin/node_modules/fs-extra
77073 silly finalize /var/www/skyauto/node_modules/globule
77074 silly finalize /var/www/skyauto/node_modules/gaze
77075 silly finalize /var/www/skyauto/node_modules/globs
77076 silly finalize /var/www/skyauto/node_modules/concatenate
77077 silly finalize /var/www/skyauto/node_modules/copy-webpack-plugin/node_modules/glob
77078 silly finalize /var/www/skyauto/node_modules/copy-webpack-plugin
77079 silly finalize /var/www/skyauto/node_modules/ws
77080 silly finalize /var/www/skyauto/node_modules/wtf-8
77081 silly finalize /var/www/skyauto/node_modules/engine.io-parser
77082 silly finalize /var/www/skyauto/node_modules/engine.io
77083 silly finalize /var/www/skyauto/node_modules/xml-char-classes
77084 silly finalize /var/www/skyauto/node_modules/ncname
77085 silly finalize /var/www/skyauto/node_modules/html-minifier
77086 silly finalize /var/www/skyauto/node_modules/html-loader
77087 silly finalize /var/www/skyauto/node_modules/xmlhttprequest-ssl
77088 silly finalize /var/www/skyauto/node_modules/xtend
77089 silly finalize /var/www/skyauto/node_modules/stream-http
77090 silly finalize /var/www/skyauto/node_modules/node-libs-browser
77091 silly finalize /var/www/skyauto/node_modules/is-my-json-valid
77092 silly finalize /var/www/skyauto/node_modules/har-validator
77093 silly finalize /var/www/skyauto/node_modules/request
77094 silly finalize /var/www/skyauto/node_modules/node-gyp
77095 silly finalize /var/www/skyauto/node_modules/less
77096 silly finalize /var/www/skyauto/node_modules/y18n
77097 silly finalize /var/www/skyauto/node_modules/sass-graph/node_modules/yargs
77098 silly finalize /var/www/skyauto/node_modules/sass-graph
77099 silly finalize /var/www/skyauto/node_modules/localtunnel/node_modules/yargs
77100 silly finalize /var/www/skyauto/node_modules/localtunnel
77101 silly finalize /var/www/skyauto/node_modules/yallist
77102 silly finalize /var/www/skyauto/node_modules/lru-cache
77103 silly finalize /var/www/skyauto/node_modules/vue-loader
77104 silly finalize /var/www/skyauto/node_modules/cross-spawn
77105 silly finalize /var/www/skyauto/node_modules/node-sass
77106 silly finalize /var/www/skyauto/node_modules/cross-env
77107 silly finalize /var/www/skyauto/node_modules/yargs-parser/node_modules/camelcase
77108 silly finalize /var/www/skyauto/node_modules/yargs-parser
77109 silly finalize /var/www/skyauto/node_modules/yargs/node_modules/camelcase
77110 silly finalize /var/www/skyauto/node_modules/yargs/node_modules/window-size
77111 silly finalize /var/www/skyauto/node_modules/yargs
77112 silly finalize /var/www/skyauto/node_modules/webpack-dev-server
77113 silly finalize /var/www/skyauto/node_modules/webpack
77114 silly finalize /var/www/skyauto/node_modules/yeast
77115 silly finalize /var/www/skyauto/node_modules/engine.io-client
77116 silly finalize /var/www/skyauto/node_modules/socket.io-client
77117 silly finalize /var/www/skyauto/node_modules/socket.io
77118 silly finalize /var/www/skyauto/node_modules/browser-sync
77119 silly finalize /var/www/skyauto/node_modules/laravel-mix
77120 silly doSerial build 817
77121 silly build abbrev@1.0.9
77122 info linkStuff abbrev@1.0.9
77123 silly linkStuff abbrev@1.0.9 has /var/www/skyauto/node_modules as its parent node_modules
77124 verbose linkBins abbrev@1.0.9
77125 verbose linkMans abbrev@1.0.9
77126 silly build acorn@3.3.0
77127 info linkStuff acorn@3.3.0
77128 silly linkStuff acorn@3.3.0 has /var/www/skyauto/node_modules as its parent node_modules
77129 verbose linkBins acorn@3.3.0
77130 verbose link bins [ { acorn: './bin/acorn' },
77130 verbose link bins   '/var/www/skyauto/node_modules/.bin',
77130 verbose link bins   false ]
77131 verbose linkMans acorn@3.3.0
77132 silly gentlyRm /var/www/skyauto/node_modules/.bin/acorn is being purged
77133 verbose gentlyRm don't care about contents; nuking /var/www/skyauto/node_modules/.bin/acorn
77134 silly build acorn@4.0.11
77135 info linkStuff acorn@4.0.11
77136 silly linkStuff acorn@4.0.11 has /var/www/skyauto/node_modules/acorn-dynamic-import/node_modules as its parent node_modules
77137 verbose linkBins acorn@4.0.11
77138 verbose link bins [ { acorn: './bin/acorn' },
77138 verbose link bins   '/var/www/skyauto/node_modules/acorn-dynamic-import/node_modules/.bin',
77138 verbose link bins   false ]
77139 verbose linkMans acorn@4.0.11
77140 silly gentlyRm /var/www/skyauto/node_modules/acorn-dynamic-import/node_modules/.bin/acorn is being purged
77141 verbose gentlyRm don't care about contents; nuking /var/www/skyauto/node_modules/acorn-dynamic-import/node_modules/.bin/acorn
77142 silly build acorn-dynamic-import@2.0.1
77143 info linkStuff acorn-dynamic-import@2.0.1
77144 silly linkStuff acorn-dynamic-import@2.0.1 has /var/www/skyauto/node_modules as its parent node_modules
77145 verbose linkBins acorn-dynamic-import@2.0.1
77146 verbose linkMans acorn-dynamic-import@2.0.1
77147 silly build acorn-jsx@3.0.1
77148 info linkStuff acorn-jsx@3.0.1
77149 silly linkStuff acorn-jsx@3.0.1 has /var/www/skyauto/node_modules as its parent node_modules
77150 verbose linkBins acorn-jsx@3.0.1
77151 verbose linkMans acorn-jsx@3.0.1
77152 silly build acorn-object-spread@1.0.0
77153 info linkStuff acorn-object-spread@1.0.0
77154 silly linkStuff acorn-object-spread@1.0.0 has /var/www/skyauto/node_modules as its parent node_modules
77155 verbose linkBins acorn-object-spread@1.0.0
77156 verbose linkMans acorn-object-spread@1.0.0
77157 silly build after@0.8.1
77158 info linkStuff after@0.8.1
77159 silly linkStuff after@0.8.1 has /var/www/skyauto/node_modules as its parent node_modules
77160 verbose linkBins after@0.8.1
77161 verbose linkMans after@0.8.1
77162 silly build ajv-keywords@1.5.1
77163 info linkStuff ajv-keywords@1.5.1
77164 silly linkStuff ajv-keywords@1.5.1 has /var/www/skyauto/node_modules as its parent node_modules
77165 verbose linkBins ajv-keywords@1.5.1
77166 verbose linkMans ajv-keywords@1.5.1
77167 silly build alphanum-sort@1.0.2
77168 info linkStuff alphanum-sort@1.0.2
77169 silly linkStuff alphanum-sort@1.0.2 has /var/www/skyauto/node_modules as its parent node_modules
77170 verbose linkBins alphanum-sort@1.0.2
77171 verbose linkMans alphanum-sort@1.0.2
77172 silly build amdefine@1.0.1
77173 info linkStuff amdefine@1.0.1
77174 silly linkStuff amdefine@1.0.1 has /var/www/skyauto/node_modules as its parent node_modules
77175 verbose linkBins amdefine@1.0.1
77176 verbose linkMans amdefine@1.0.1
77177 silly build ansi-html@0.0.7
77178 info linkStuff ansi-html@0.0.7
77179 silly linkStuff ansi-html@0.0.7 has /var/www/skyauto/node_modules as its parent node_modules
77180 verbose linkBins ansi-html@0.0.7
77181 verbose link bins [ { 'ansi-html': './bin/ansi-html' },
77181 verbose link bins   '/var/www/skyauto/node_modules/.bin',
77181 verbose link bins   false ]
77182 verbose linkMans ansi-html@0.0.7
77183 silly gentlyRm /var/www/skyauto/node_modules/.bin/ansi-html is being purged
77184 verbose gentlyRm don't care about contents; nuking /var/www/skyauto/node_modules/.bin/ansi-html
77185 silly build ansi-regex@2.1.1
77186 info linkStuff ansi-regex@2.1.1
77187 silly linkStuff ansi-regex@2.1.1 has /var/www/skyauto/node_modules as its parent node_modules
77188 verbose linkBins ansi-regex@2.1.1
77189 verbose linkMans ansi-regex@2.1.1
77190 silly build ansi-styles@2.2.1
77191 info linkStuff ansi-styles@2.2.1
77192 silly linkStuff ansi-styles@2.2.1 has /var/www/skyauto/node_modules as its parent node_modules
77193 verbose linkBins ansi-styles@2.2.1
77194 verbose linkMans ansi-styles@2.2.1
77195 silly build ansicolors@0.2.1
77196 info linkStuff ansicolors@0.2.1
77197 silly linkStuff ansicolors@0.2.1 has /var/www/skyauto/node_modules as its parent node_modules
77198 verbose linkBins ansicolors@0.2.1
77199 verbose linkMans ansicolors@0.2.1
77200 silly build aproba@1.1.1
77201 info linkStuff aproba@1.1.1
77202 silly linkStuff aproba@1.1.1 has /var/www/skyauto/node_modules as its parent node_modules
77203 verbose linkBins aproba@1.1.1
77204 verbose linkMans aproba@1.1.1
77205 silly build arr-flatten@1.0.1
77206 info linkStuff arr-flatten@1.0.1
77207 silly linkStuff arr-flatten@1.0.1 has /var/www/skyauto/node_modules as its parent node_modules
77208 verbose linkBins arr-flatten@1.0.1
77209 verbose linkMans arr-flatten@1.0.1
77210 silly build arr-diff@2.0.0
77211 info linkStuff arr-diff@2.0.0
77212 silly linkStuff arr-diff@2.0.0 has /var/www/skyauto/node_modules as its parent node_modules
77213 verbose linkBins arr-diff@2.0.0
77214 verbose linkMans arr-diff@2.0.0
77215 silly build array-find-index@1.0.2
77216 info linkStuff array-find-index@1.0.2
77217 silly linkStuff array-find-index@1.0.2 has /var/www/skyauto/node_modules as its parent node_modules
77218 verbose linkBins array-find-index@1.0.2
77219 verbose linkMans array-find-index@1.0.2
77220 silly build array-flatten@1.1.1
77221 info linkStuff array-flatten@1.1.1
77222 silly linkStuff array-flatten@1.1.1 has /var/www/skyauto/node_modules as its parent node_modules
77223 verbose linkBins array-flatten@1.1.1
77224 verbose linkMans array-flatten@1.1.1
77225 silly build array-unique@0.2.1
77226 info linkStuff array-unique@0.2.1
77227 silly linkStuff array-unique@0.2.1 has /var/www/skyauto/node_modules as its parent node_modules
77228 verbose linkBins array-unique@0.2.1
77229 verbose linkMans array-unique@0.2.1
77230 silly build arraybuffer.slice@0.0.6
77231 info linkStuff arraybuffer.slice@0.0.6
77232 silly linkStuff arraybuffer.slice@0.0.6 has /var/www/skyauto/node_modules as its parent node_modules
77233 verbose linkBins arraybuffer.slice@0.0.6
77234 verbose linkMans arraybuffer.slice@0.0.6
77235 silly build arrify@1.0.1
77236 info linkStuff arrify@1.0.1
77237 silly linkStuff arrify@1.0.1 has /var/www/skyauto/node_modules as its parent node_modules
77238 verbose linkBins arrify@1.0.1
77239 verbose linkMans arrify@1.0.1
77240 silly build asap@2.0.5
77241 info linkStuff asap@2.0.5
77242 silly linkStuff asap@2.0.5 has /var/www/skyauto/node_modules as its parent node_modules
77243 verbose linkBins asap@2.0.5
77244 verbose linkMans asap@2.0.5
77245 silly build asn1@0.2.3
77246 info linkStuff asn1@0.2.3
77247 silly linkStuff asn1@0.2.3 has /var/www/skyauto/node_modules as its parent node_modules
77248 verbose linkBins asn1@0.2.3
77249 verbose linkMans asn1@0.2.3
77250 silly build assert-plus@0.2.0
77251 info linkStuff assert-plus@0.2.0
77252 silly linkStuff assert-plus@0.2.0 has /var/www/skyauto/node_modules as its parent node_modules
77253 verbose linkBins assert-plus@0.2.0
77254 verbose linkMans assert-plus@0.2.0
77255 silly build ast-types@0.9.5
77256 info linkStuff ast-types@0.9.5
77257 silly linkStuff ast-types@0.9.5 has /var/www/skyauto/node_modules as its parent node_modules
77258 verbose linkBins ast-types@0.9.5
77259 verbose linkMans ast-types@0.9.5
77260 silly build async@1.5.2
77261 info linkStuff async@1.5.2
77262 silly linkStuff async@1.5.2 has /var/www/skyauto/node_modules as its parent node_modules
77263 verbose linkBins async@1.5.2
77264 verbose linkMans async@1.5.2
77265 silly build async-each@1.0.1
77266 info linkStuff async-each@1.0.1
77267 silly linkStuff async-each@1.0.1 has /var/www/skyauto/node_modules as its parent node_modules
77268 verbose linkBins async-each@1.0.1
77269 verbose linkMans async-each@1.0.1
77270 silly build async-each-series@0.1.1
77271 info linkStuff async-each-series@0.1.1
77272 silly linkStuff async-each-series@0.1.1 has /var/www/skyauto/node_modules as its parent node_modules
77273 verbose linkBins async-each-series@0.1.1
77274 verbose linkMans async-each-series@0.1.1
77275 silly build async-foreach@0.1.3
77276 info linkStuff async-foreach@0.1.3
77277 silly linkStuff async-foreach@0.1.3 has /var/www/skyauto/node_modules as its parent node_modules
77278 verbose linkBins async-foreach@0.1.3
77279 verbose linkMans async-foreach@0.1.3
77280 silly build asynckit@0.4.0
77281 info linkStuff asynckit@0.4.0
77282 silly linkStuff asynckit@0.4.0 has /var/www/skyauto/node_modules as its parent node_modules
77283 verbose linkBins asynckit@0.4.0
77284 verbose linkMans asynckit@0.4.0
77285 silly build atob@1.1.3
77286 info linkStuff atob@1.1.3
77287 silly linkStuff atob@1.1.3 has /var/www/skyauto/node_modules as its parent node_modules
77288 verbose linkBins atob@1.1.3
77289 verbose link bins [ { atob: 'bin/atob.js' },
77289 verbose link bins   '/var/www/skyauto/node_modules/.bin',
77289 verbose link bins   false ]
77290 verbose linkMans atob@1.1.3
77291 silly gentlyRm /var/www/skyauto/node_modules/.bin/atob is being purged
77292 verbose gentlyRm don't care about contents; nuking /var/www/skyauto/node_modules/.bin/atob
77293 silly build aws-sign2@0.6.0
77294 info linkStuff aws-sign2@0.6.0
77295 silly linkStuff aws-sign2@0.6.0 has /var/www/skyauto/node_modules as its parent node_modules
77296 verbose linkBins aws-sign2@0.6.0
77297 verbose linkMans aws-sign2@0.6.0
77298 silly build aws4@1.6.0
77299 info linkStuff aws4@1.6.0
77300 silly linkStuff aws4@1.6.0 has /var/www/skyauto/node_modules as its parent node_modules
77301 verbose linkBins aws4@1.6.0
77302 verbose linkMans aws4@1.6.0
77303 silly build babylon@6.15.0
77304 info linkStuff babylon@6.15.0
77305 silly linkStuff babylon@6.15.0 has /var/www/skyauto/node_modules as its parent node_modules
77306 verbose linkBins babylon@6.15.0
77307 verbose link bins [ { babylon: './bin/babylon.js' },
77307 verbose link bins   '/var/www/skyauto/node_modules/.bin',
77307 verbose link bins   false ]
77308 verbose linkMans babylon@6.15.0
77309 silly gentlyRm /var/www/skyauto/node_modules/.bin/babylon is being purged
77310 verbose gentlyRm don't care about contents; nuking /var/www/skyauto/node_modules/.bin/babylon
77311 silly build backo2@1.0.2
77312 info linkStuff backo2@1.0.2
77313 silly linkStuff backo2@1.0.2 has /var/www/skyauto/node_modules as its parent node_modules
77314 verbose linkBins backo2@1.0.2
77315 verbose linkMans backo2@1.0.2
77316 silly build balanced-match@0.4.2
77317 info linkStuff balanced-match@0.4.2
